model,rank,absolute_wis,relative_wis,log_relative_wis,mae,coverage_50pct,coverage_95pct,n_forecasts,pct_forecasts,n_locations,pct_locations
NU-PGF_FLUH,1,41.36,0.52,0.83,73.58,25.0,83.33,8,7.69,4,7.69
CMU-TimeSeries,2,33.5,0.65,0.59,49.61,53.21,97.44,104,100.0,52,100.0
NAU-FourCAT,3,36.74,0.69,0.67,52.59,57.69,98.08,104,100.0,52,100.0
FluSight-trained_mean,4,37.49,0.72,0.63,57.36,60.26,96.15,104,100.0,52,100.0
DMAPRIME-QR,5,23.61,0.73,0.72,37.33,33.33,100.0,2,1.92,1,1.92
NAU-vulPES,6,38.45,0.73,0.71,58.05,60.26,97.44,104,100.0,52,100.0
NAU-epymorph,7,39.02,0.74,0.72,56.5,38.46,78.85,104,100.0,52,100.0
UGA_flucast-Copycat,8,39.34,0.75,0.77,57.99,46.79,85.9,104,100.0,52,100.0
PSI-PROF_MOA,9,42.74,0.79,0.77,66.57,37.82,92.95,104,100.0,52,100.0
CADPH-FluCAT_Ensemble,10,194.65,0.8,0.78,343.63,66.67,100.0,2,1.92,1,1.92
UGA_flucast-Scenariocast,11,42.62,0.81,0.8,63.28,60.26,93.59,104,100.0,52,100.0
MOBS-GLEAM_RL_FLUH,12,44.41,0.81,0.75,66.59,44.44,81.7,102,98.08,51,98.08
FluSight-trained_med,13,42.8,0.82,0.77,63.83,60.9,96.15,104,100.0,52,100.0
FluSight-lop_norm,14,43.36,0.83,0.8,65.17,66.03,99.36,104,100.0,52,100.0
FluSight-ensemble,15,44.05,0.84,0.78,66.74,57.05,94.23,104,100.0,52,100.0
FluSight-HJudge_ensemble,16,44.22,0.84,0.78,67.51,53.85,92.31,104,100.0,52,100.0
CFA_Pyrenew-Pyrenew_HE_Flu,17,45.34,0.88,0.61,72.05,40.0,89.33,100,96.15,50,96.15
PSI-PROF,18,46.19,0.89,0.91,63.93,60.26,98.72,104,100.0,52,100.0
Cornell_JHU-hierarchSIR,19,46.85,0.89,0.82,73.44,43.59,93.59,104,100.0,52,100.0
UGA_flucast-INFLAenza,20,47.54,0.91,0.84,74.44,44.23,93.59,104,100.0,52,100.0
Google_SAI-FluEns,21,48.44,0.93,0.85,75.13,51.92,96.15,104,100.0,52,100.0
MIGHTE-Joint,22,49.59,0.95,0.88,74.16,59.62,96.79,104,100.0,52,100.0
VTSanghani-PRIME,23,25.0,0.96,0.96,31.96,87.5,93.75,48,46.15,48,92.31
OHT_JHU-nbxd,24,51.22,0.96,0.86,79.64,41.03,83.33,104,100.0,52,100.0
FluSight-baseline,25,52.28,1.0,1.0,76.95,10.26,95.51,104,100.0,52,100.0
SigSci-TSENS,26,55.3,1.01,1.06,82.13,33.8,75.35,95,91.35,49,94.23
UMass-flusion,27,53.66,1.02,0.96,79.72,35.9,80.13,104,100.0,52,100.0
CU-ARNB_Net,28,54.37,1.03,1.03,83.56,49.36,89.74,104,100.0,52,100.0
UVAFluX-Ensemble,29,54.4,1.03,0.97,77.72,50.0,85.9,104,100.0,52,100.0
Gatech-ensemble_prob,30,54.34,1.05,0.95,83.37,28.1,86.27,102,98.08,51,98.08
NIH-Flu_ARIMA,31,55.86,1.05,1.19,75.78,19.33,70.67,100,96.15,51,98.08
MOBS-EpyStrain_Flu,32,58.57,1.09,0.98,94.5,35.29,87.58,102,98.08,51,98.08
UMass-AR2,33,57.35,1.1,1.19,82.52,34.62,81.41,104,100.0,52,100.0
UMass-trends_ensemble,34,57.69,1.11,1.31,76.54,53.85,79.49,104,100.0,52,100.0
MIGHTE-Nsemble,35,57.74,1.11,1.02,88.82,58.97,94.87,104,100.0,52,100.0
UGA_CEID-auto_AVG_LB,36,58.6,1.12,1.12,91.02,42.95,92.31,104,100.0,52,100.0
LosAlamos-DoSiDo,37,58.63,1.12,1.29,78.01,73.08,98.08,104,100.0,52,100.0
CFA_Pyrenew-Pyrenew_H_Flu,38,59.23,1.12,1.14,87.13,44.44,86.27,102,98.08,51,98.08
NEU_ISI-AdaptiveEnsemble,39,61.5,1.15,1.1,90.19,42.24,75.0,77,74.04,44,84.62
NEU_ISI-FluBcast,40,58.17,1.16,1.03,78.44,26.39,63.19,97,93.27,51,98.08
LosAlamos-ThinMint,41,62.29,1.18,1.87,95.03,59.62,94.23,104,100.0,52,100.0
CU-ensemble,42,65.21,1.23,1.3,92.29,39.1,75.64,104,100.0,52,100.0
UGA_CEID-Walk,43,64.52,1.24,1.46,80.58,76.28,94.23,104,100.0,52,100.0
UNC_IDD-InfluPaint,44,67.74,1.29,1.16,98.37,40.52,83.01,102,98.08,51,98.08
UI_CompEpi-EpiGen,45,77.84,1.3,1.07,101.93,21.57,59.8,51,49.04,51,98.08
UVAFluX-FS_OptimWISE,46,69.21,1.34,1.13,95.98,30.13,78.21,104,100.0,52,100.0
Gatech-ensemble_stat,47,71.15,1.35,1.46,97.48,33.97,77.56,104,100.0,52,100.0
CEPH-Rtrend_fluH,48,71.1,1.37,1.34,105.33,26.28,73.72,104,100.0,52,100.0
UM-DeepOutbreak,49,74.32,1.44,1.83,110.62,44.87,94.23,104,100.0,52,100.0
LUcompUncertLab-puca,50,81.35,1.55,2.44,110.65,37.82,74.36,104,100.0,52,100.0
LosAlamos_NAU-CModel_Flu,51,111.67,2.19,2.06,136.08,19.23,41.03,104,100.0,52,100.0
